variable_group,variable_name,description
production_target,C16,log-transformed seasonally adjusted industrial production index for wood and products of wood and cork except furniture
production_target,C31,log-transformed seasonally adjusted industrial production index for furniture manufacturing
trade_target,trade_export,log-transformed total export value of wooden furniture
trade_target,trade_import,log-transformed total import value of wooden furniture
feature_group,target_lags,target lags at 1 3 6 and 12 months
feature_group,lagged_differences,strictly lagged first and seasonal difference terms
feature_group,cyclic_calendar_terms,sine and cosine month encodings
feature_group,country_indicators,country dummy variables aligned to the training design matrix
feature_group,annual_anchors,eligible lagged annual FAOSTAT contextual predictors
execution_code,V0,execution-valid pooled LightGBM run
execution_code,E1,empty effective train or test design after feature construction and filtering
execution_code,E2,empty or non-alignable feature matrix after dummy encoding and matrix alignment
execution_code,E3,model fitting or prediction exception
